service_id,date,exception_type
1,20140314,1
1,20140315,1
1,20140321,1
1,20140322,1
1,20140328,1
1,20140329,1
1,20140404,1
1,20140405,1
1,20140411,1
1,20140412,1
1,20140418,1
1,20140419,1
1,20140425,1
1,20140426,1
1,20140502,1
1,20140503,1
1,20140509,1
1,20140510,1
1,20140516,1
1,20140517,1
1,20140523,1
1,20140524,1
1,20140525,1
1,20140530,1
1,20140531,1
1,20140606,1
1,20140607,1
1,20140613,1
1,20140614,1
1,20140620,1
1,20140621,1
1,20140627,1
1,20140628,1
1,20140703,1
1,20140704,1
1,20140705,1
1,20140711,1
1,20140712,1
1,20140718,1
1,20140719,1
1,20140725,1
1,20140726,1
1,20140801,1
1,20140802,1
1,20140808,1
1,20140809,1
1,20140815,1
1,20140816,1
1,20140822,1
1,20140823,1
1,20140829,1
1,20140830,1
1,20140831,1
1,20140905,1
2,20140315,1
2,20140316,1
2,20140322,1
2,20140323,1
2,20140329,1
2,20140330,1
2,20140405,1
2,20140406,1
2,20140412,1
2,20140413,1
2,20140419,1
2,20140420,1
2,20140426,1
2,20140427,1
2,20140503,1
2,20140504,1
2,20140510,1
2,20140511,1
2,20140517,1
2,20140518,1
2,20140524,1
2,20140525,1
2,20140526,1
2,20140531,1
2,20140601,1
2,20140607,1
2,20140608,1
2,20140614,1
2,20140615,1
2,20140621,1
2,20140622,1
2,20140628,1
2,20140629,1
2,20140704,1
2,20140705,1
2,20140706,1
2,20140712,1
2,20140713,1
2,20140719,1
2,20140720,1
2,20140726,1
2,20140727,1
2,20140802,1
2,20140803,1
2,20140809,1
2,20140810,1
2,20140816,1
2,20140817,1
2,20140823,1
2,20140824,1
2,20140830,1
2,20140831,1
2,20140901,1
2,20140906,1
3,20140313,1
3,20140316,1
3,20140317,1
3,20140318,1
3,20140319,1
3,20140320,1
3,20140323,1
3,20140324,1
3,20140325,1
3,20140326,1
3,20140327,1
3,20140330,1
3,20140331,1
3,20140401,1
3,20140402,1
3,20140403,1
3,20140406,1
3,20140407,1
3,20140408,1
3,20140409,1
3,20140410,1
3,20140413,1
3,20140414,1
3,20140415,1
3,20140416,1
3,20140417,1
3,20140420,1
3,20140421,1
3,20140422,1
3,20140423,1
3,20140424,1
3,20140427,1
3,20140428,1
3,20140429,1
3,20140430,1
3,20140501,1
3,20140504,1
3,20140505,1
3,20140506,1
3,20140507,1
3,20140508,1
3,20140511,1
3,20140512,1
3,20140513,1
3,20140514,1
3,20140515,1
3,20140518,1
3,20140519,1
3,20140520,1
3,20140521,1
3,20140522,1
3,20140526,1
3,20140527,1
3,20140528,1
3,20140529,1
3,20140601,1
3,20140602,1
3,20140603,1
3,20140604,1
3,20140605,1
3,20140608,1
3,20140609,1
3,20140610,1
3,20140611,1
3,20140612,1
3,20140615,1
3,20140616,1
3,20140617,1
3,20140618,1
3,20140619,1
3,20140622,1
3,20140623,1
3,20140624,1
3,20140625,1
3,20140626,1
3,20140629,1
3,20140630,1
3,20140701,1
3,20140702,1
3,20140706,1
3,20140707,1
3,20140708,1
3,20140709,1
3,20140710,1
3,20140713,1
3,20140714,1
3,20140715,1
3,20140716,1
3,20140717,1
3,20140720,1
3,20140721,1
3,20140722,1
3,20140723,1
3,20140724,1
3,20140727,1
3,20140728,1
3,20140729,1
3,20140730,1
3,20140731,1
3,20140803,1
3,20140804,1
3,20140805,1
3,20140806,1
3,20140807,1
3,20140810,1
3,20140811,1
3,20140812,1
3,20140813,1
3,20140814,1
3,20140817,1
3,20140818,1
3,20140819,1
3,20140820,1
3,20140821,1
3,20140824,1
3,20140825,1
3,20140826,1
3,20140827,1
3,20140828,1
3,20140901,1
3,20140902,1
3,20140903,1
3,20140904,1
4,20140313,1
4,20140314,1
4,20140317,1
4,20140318,1
4,20140319,1
4,20140320,1
4,20140321,1
4,20140324,1
4,20140325,1
4,20140326,1
4,20140327,1
4,20140328,1
4,20140331,1
4,20140401,1
4,20140402,1
4,20140403,1
4,20140404,1
4,20140407,1
4,20140408,1
4,20140409,1
4,20140410,1
4,20140411,1
4,20140414,1
4,20140415,1
4,20140416,1
4,20140417,1
4,20140418,1
4,20140421,1
4,20140422,1
4,20140423,1
4,20140424,1
4,20140425,1
4,20140428,1
4,20140429,1
4,20140430,1
4,20140501,1
4,20140502,1
4,20140505,1
4,20140506,1
4,20140507,1
4,20140508,1
4,20140509,1
4,20140512,1
4,20140513,1
4,20140514,1
4,20140515,1
4,20140516,1
4,20140519,1
4,20140520,1
4,20140521,1
4,20140522,1
4,20140523,1
4,20140527,1
4,20140528,1
4,20140529,1
4,20140530,1
4,20140602,1
4,20140603,1
4,20140604,1
4,20140605,1
4,20140606,1
4,20140609,1
4,20140610,1
4,20140611,1
4,20140612,1
4,20140613,1
4,20140616,1
4,20140617,1
4,20140618,1
4,20140619,1
4,20140620,1
4,20140623,1
4,20140624,1
4,20140625,1
4,20140626,1
4,20140627,1
4,20140630,1
4,20140701,1
4,20140702,1
4,20140703,1
4,20140707,1
4,20140708,1
4,20140709,1
4,20140710,1
4,20140711,1
4,20140714,1
4,20140715,1
4,20140716,1
4,20140717,1
4,20140718,1
4,20140721,1
4,20140722,1
4,20140723,1
4,20140724,1
4,20140725,1
4,20140728,1
4,20140729,1
4,20140730,1
4,20140731,1
4,20140801,1
4,20140804,1
4,20140805,1
4,20140806,1
4,20140807,1
4,20140808,1
4,20140811,1
4,20140812,1
4,20140813,1
4,20140814,1
4,20140815,1
4,20140818,1
4,20140819,1
4,20140820,1
4,20140821,1
4,20140822,1
4,20140825,1
4,20140826,1
4,20140827,1
4,20140828,1
4,20140829,1
4,20140902,1
4,20140903,1
4,20140904,1
4,20140905,1
5,20140504,1
6,20140523,1
6,20140703,1
6,20140829,1
7,20140315,1
7,20140316,1
7,20140322,1
7,20140323,1
7,20140329,1
7,20140330,1
7,20140405,1
7,20140406,1
7,20140412,1
7,20140413,1
7,20140419,1
7,20140420,1
7,20140426,1
7,20140427,1
7,20140503,1
7,20140504,1
7,20140510,1
7,20140511,1
7,20140517,1
7,20140518,1
7,20140524,1
7,20140525,1
7,20140526,1
7,20140531,1
7,20140601,1
7,20140607,1
7,20140608,1
7,20140614,1
7,20140615,1
7,20140621,1
7,20140622,1
7,20140628,1
7,20140629,1
7,20140704,1
7,20140705,1
7,20140706,1
7,20140712,1
7,20140713,1
7,20140719,1
7,20140720,1
7,20140726,1
7,20140727,1
7,20140802,1
7,20140803,1
7,20140809,1
7,20140810,1
7,20140816,1
7,20140817,1
7,20140823,1
7,20140824,1
7,20140830,1
7,20140831,1
7,20140901,1
8,20140313,1
8,20140314,1
8,20140317,1
8,20140318,1
8,20140319,1
8,20140320,1
8,20140321,1
8,20140324,1
8,20140325,1
8,20140326,1
8,20140327,1
8,20140328,1
8,20140331,1
8,20140401,1
8,20140402,1
8,20140403,1
8,20140404,1
8,20140407,1
8,20140408,1
8,20140409,1
8,20140410,1
8,20140411,1
8,20140414,1
8,20140415,1
8,20140416,1
8,20140417,1
8,20140418,1
8,20140421,1
8,20140422,1
8,20140423,1
8,20140424,1
8,20140425,1
8,20140428,1
8,20140429,1
8,20140430,1
8,20140501,1
8,20140502,1
8,20140505,1
8,20140506,1
8,20140507,1
8,20140508,1
8,20140509,1
8,20140512,1
8,20140513,1
8,20140514,1
8,20140515,1
8,20140516,1
8,20140519,1
8,20140520,1
8,20140521,1
8,20140522,1
8,20140527,1
8,20140528,1
8,20140529,1
8,20140530,1
8,20140602,1
8,20140603,1
8,20140604,1
8,20140605,1
8,20140606,1
8,20140609,1
8,20140610,1
8,20140611,1
8,20140612,1
8,20140613,1
8,20140616,1
8,20140617,1
8,20140618,1
8,20140619,1
8,20140620,1
8,20140623,1
8,20140624,1
8,20140625,1
8,20140626,1
8,20140627,1
8,20140630,1
8,20140701,1
8,20140702,1
8,20140707,1
8,20140708,1
8,20140709,1
8,20140710,1
8,20140711,1
8,20140714,1
8,20140715,1
8,20140716,1
8,20140717,1
8,20140718,1
8,20140721,1
8,20140722,1
8,20140723,1
8,20140724,1
8,20140725,1
8,20140728,1
8,20140729,1
8,20140730,1
8,20140731,1
8,20140801,1
8,20140804,1
8,20140805,1
8,20140806,1
8,20140807,1
8,20140808,1
8,20140811,1
8,20140812,1
8,20140813,1
8,20140814,1
8,20140815,1
8,20140818,1
8,20140819,1
8,20140820,1
8,20140821,1
8,20140822,1
8,20140825,1
8,20140826,1
8,20140827,1
8,20140828,1
8,20140902,1
8,20140903,1
8,20140904,1
8,20140905,1
9,20140315,1
9,20140322,1
9,20140329,1
9,20140405,1
9,20140412,1
9,20140419,1
9,20140426,1
9,20140503,1
9,20140510,1
9,20140517,1
9,20140524,1
9,20140531,1
9,20140607,1
9,20140614,1
9,20140621,1
9,20140628,1
9,20140705,1
9,20140712,1
9,20140719,1
9,20140726,1
9,20140802,1
9,20140809,1
9,20140816,1
9,20140823,1
9,20140830,1
9,20140906,1
10,20140316,1
10,20140323,1
10,20140330,1
10,20140406,1
10,20140413,1
10,20140420,1
10,20140427,1
10,20140504,1
10,20140511,1
10,20140518,1
10,20140525,1
10,20140601,1
10,20140608,1
10,20140615,1
10,20140622,1
10,20140629,1
10,20140706,1
10,20140713,1
10,20140720,1
10,20140727,1
10,20140803,1
10,20140810,1
10,20140817,1
10,20140824,1
10,20140831,1
10,20140907,1
11,20140313,1
11,20140314,1
11,20140317,1
11,20140318,1
11,20140319,1
11,20140320,1
11,20140321,1
11,20140324,1
11,20140325,1
11,20140326,1
11,20140327,1
11,20140328,1
11,20140331,1
11,20140401,1
11,20140402,1
11,20140403,1
11,20140404,1
11,20140407,1
11,20140408,1
11,20140409,1
11,20140410,1
11,20140411,1
11,20140414,1
11,20140415,1
11,20140416,1
11,20140417,1
11,20140418,1
11,20140421,1
11,20140422,1
11,20140423,1
11,20140424,1
11,20140425,1
11,20140428,1
11,20140429,1
11,20140430,1
11,20140501,1
11,20140502,1
11,20140505,1
11,20140506,1
11,20140507,1
11,20140508,1
11,20140509,1
11,20140512,1
11,20140513,1
11,20140514,1
11,20140515,1
11,20140516,1
11,20140519,1
11,20140520,1
11,20140521,1
11,20140522,1
11,20140523,1
11,20140526,1
11,20140527,1
11,20140528,1
11,20140529,1
11,20140530,1
11,20140602,1
11,20140603,1
11,20140604,1
11,20140605,1
11,20140606,1
11,20140609,1
11,20140610,1
11,20140611,1
11,20140612,1
11,20140613,1
11,20140616,1
11,20140617,1
11,20140618,1
11,20140619,1
11,20140620,1
11,20140623,1
11,20140624,1
11,20140625,1
11,20140626,1
11,20140627,1
11,20140630,1
11,20140701,1
11,20140702,1
11,20140703,1
11,20140704,1
11,20140707,1
11,20140708,1
11,20140709,1
11,20140710,1
11,20140711,1
11,20140714,1
11,20140715,1
11,20140716,1
11,20140717,1
11,20140718,1
11,20140721,1
11,20140722,1
11,20140723,1
11,20140724,1
11,20140725,1
11,20140728,1
11,20140729,1
11,20140730,1
